asset_id,original_inventory_sector,min_start,max_end,inflated_extrap_emissions,baseline_emissions,inflated_over_baseline_pct
2023265,domestic-shipping,2022-12-01 00:00:00,2026-02-28 23:59:59,140.73180199146438,580.2523487027152,24.253551460171085
2023617,domestic-shipping,2022-01-01 00:00:00,2026-02-28 23:59:59,150.63350291088216,255.77283019181945,58.89347308621992
2095177,domestic-shipping,2021-06-01 00:00:00,2026-02-28 23:59:59,18.5895979151,191.59113181452852,9.7027444532745
2787811,international-shipping,2023-12-01 00:00:00,2026-02-28 23:59:59,9.622576796447381,106.33585657026129,9.04923052939276
2791077,international-shipping,2023-01-01 00:00:00,2026-02-28 23:59:59,235.23107842986934,1424.8276283460002,16.509441124673828
2793188,international-shipping,2022-11-01 00:00:00,2026-02-28 23:59:59,94.78433218502893,350.42877226265125,27.04810212158799
2793870,international-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,259.39846933921797,4999.528507448397,5.1884586507059804
2796132,international-shipping,2022-05-01 00:00:00,2026-02-28 23:59:59,22527.83969468295,93710.11856414228,24.039922304935722
2796306,international-shipping,2022-04-01 00:00:00,2026-02-28 23:59:59,145.87698007081636,6715.330830987185,2.1722977429150983
2797228,international-shipping,2022-10-01 00:00:00,2026-02-28 23:59:59,69.18925930524286,248.52542287918845,27.83991211187947
2797229,international-shipping,2023-10-01 00:00:00,2026-02-28 23:59:59,14.399782425106045,508.7342380956853,2.8305117577711885
2800207,international-shipping,2025-02-01 00:00:00,2026-02-28 23:59:59,128.64840705641544,952.8053911191881,13.502065401340973
2800723,international-shipping,2023-10-01 00:00:00,2026-02-28 23:59:59,2863.2006956393157,14859.994055344425,19.267845498293184
2801134,international-shipping,2023-02-01 00:00:00,2026-02-28 23:59:59,91.80182667175058,295.61606830959533,31.054410268256312
2802318,international-shipping,2022-06-01 00:00:00,2026-02-28 23:59:59,1.9614703370552884,19.33260106177001,10.145920514203713
2803200,international-shipping,2022-03-01 00:00:00,2026-02-28 23:59:59,2.0246955318412594,10.25512926178909,19.743247307328772
2805682,international-shipping,2023-02-01 00:00:00,2026-02-28 23:59:59,5.973975276008412,41.0805183950054,14.542112683599271
2805781,international-shipping,2024-07-01 00:00:00,2026-02-28 23:59:59,222.85192047889998,908.5198121890584,24.52912060794175
2806778,international-shipping,2022-11-01 00:00:00,2026-02-28 23:59:59,6.893231309993992,49.34620601907504,13.969121166740512
2807094,international-shipping,2022-04-01 00:00:00,2026-02-28 23:59:59,183.3904889572484,3391.468610562739,5.407406348567644
2808571,international-shipping,2023-03-01 00:00:00,2026-02-28 23:59:59,60.428243465116246,301.1017061712314,20.069047177949813
2816557,international-shipping,2024-06-01 00:00:00,2026-02-28 23:59:59,27.4128752087,118.26657337089999,23.17888683789756
2818361,international-shipping,2023-09-01 00:00:00,2026-02-28 23:59:59,15.790152024911352,88.34743692910408,17.87279017226321
2818599,international-shipping,2022-06-01 00:00:00,2026-02-28 23:59:59,18.17976888254633,120.51629057193928,15.08490578018111
2827819,international-shipping,2023-12-01 00:00:00,2026-02-28 23:59:59,35.0043421101436,70.38981022104252,49.729274734824195
2828424,international-shipping,2021-11-01 00:00:00,2026-02-28 23:59:59,14.722313438710987,4179.352956378476,0.35226298406412354
2836154,international-shipping,2024-05-01 00:00:00,2026-02-28 23:59:59,14.644751470221621,46.754236660140215,31.32283300158515
2856101,international-shipping,2023-01-01 00:00:00,2026-02-28 23:59:59,8.607336343225272,4.303668171612636,200
2858672,international-shipping,2025-02-01 00:00:00,2026-02-28 23:59:59,1850.0700492531062,6606.720544978053,28.00285007755314
2894566,international-shipping,2021-10-01 00:00:00,2026-02-28 23:59:59,110.9228530707594,133.41150169805937,83.1433959283384
2911631,international-shipping,2022-03-01 00:00:00,2026-02-28 23:59:59,114.43326110103041,1651.7843655933536,6.9278571395076565
2941086,international-shipping,2022-02-01 00:00:00,2026-02-28 23:59:59,11.438698076712882,32.127372466996846,35.60421285140387
3056044,international-shipping,2022-09-01 00:00:00,2026-02-28 23:59:59,346.028117483627,2683.119499983097,12.896485508223055
3065402,international-shipping,2025-01-01 00:00:00,2026-02-28 23:59:59,10.091002740513042,10.091002740513042,100
3073458,international-shipping,2023-05-01 00:00:00,2026-02-28 23:59:59,15.926367714520879,60.67639119080323,26.248047060740245
3114947,international-shipping,2024-09-01 00:00:00,2026-02-28 23:59:59,10.047041601767658,11.172764055829562,89.9244050224569
3151523,international-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,31.713301689436772,235.44788741835256,13.469350707355211
32440616,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,30382.102694082012,367893.7541062105,8.2583904605542
32441205,iron-and-steel,2021-01-01 00:00:00,2023-09-30 00:00:00,1281543.8965322454,13798937.82524618,9.287264808075053
32441223,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,100523.38704897213,244324.3330862484,41.14342021491842
32441224,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,2338569.5856142924,5988910.399912508,39.04833149029006
32441229,iron-and-steel,2021-01-01 00:00:00,2025-07-31 00:00:00,321194.93924090744,22739678.645285152,1.412486712108854
